n_ctx,batch_idx,loss
8,0,3.533817768096924
8,1,3.3484108448028564
8,2,3.158329725265503
8,3,3.762946128845215
8,4,3.522296190261841
8,5,3.2764735221862793
8,6,3.379582643508911
8,7,3.6264584064483643
8,8,3.31087064743042
8,9,3.4050991535186768
32,0,2.706425666809082
32,1,2.667508363723755
32,2,2.7989349365234375
32,3,2.8970818519592285
32,4,2.597226619720459
32,5,2.7435858249664307
32,6,2.842344284057617
32,7,2.6989946365356445
32,8,2.6786646842956543
32,9,2.719547748565674
128,0,2.3629674911499023
128,1,2.476731777191162
128,2,2.4297077655792236
128,3,2.455843687057495
128,4,2.4516265392303467
128,5,2.51481032371521
128,6,2.5139338970184326
128,7,2.407442808151245
128,8,2.4558191299438477
128,9,2.443122148513794
511,0,2.4233639240264893
511,1,2.3229403495788574
511,2,2.3767142295837402
511,3,2.29904842376709
511,4,2.312441825866699
511,5,2.2758450508117676
511,6,2.306469440460205
511,7,2.4061696529388428
511,8,2.3309953212738037
511,9,2.310804605484009
512,0,2.3875339031219482
512,1,2.2819130420684814
512,2,2.296391487121582
512,3,2.333768606185913
512,4,2.3131167888641357
512,5,2.3915116786956787
512,6,2.2485527992248535
512,7,2.3217008113861084
512,8,2.3545284271240234
512,9,2.330638885498047
800,0,2.930260419845581
800,1,2.9656779766082764
800,2,2.9593772888183594
800,3,2.869157075881958
800,4,2.938063383102417
800,5,2.8631815910339355
800,6,2.859409809112549
800,7,2.910801649093628
800,8,2.889329433441162
800,9,2.919905424118042
