n_ctx,batch_idx,loss
505,0,2.31363844871521
505,1,2.3180978298187256
505,2,2.352386474609375
505,3,2.294536828994751
505,4,2.3395419120788574
505,5,2.356055736541748
505,6,2.3747501373291016
505,7,2.290958881378174
505,8,2.303166151046753
505,9,2.3259618282318115
515,0,2.335613965988159
515,1,2.3608169555664062
515,2,2.328648328781128
515,3,2.3208658695220947
515,4,2.338646411895752
515,5,2.309671401977539
515,6,2.381779909133911
515,7,2.3387694358825684
515,8,2.3216445446014404
515,9,2.34831166267395
550,0,2.3058114051818848
550,1,2.332547903060913
550,2,2.3234591484069824
550,3,2.4016597270965576
550,4,2.398442506790161
550,5,2.4457180500030518
550,6,2.3447911739349365
550,7,2.3342106342315674
550,8,2.2817695140838623
550,9,2.290558099746704
